north_pearl_product_id,north_pearl_handle,north_pearl_name,classification,supplier_name,alibaba_listing_title,alibaba_product_url,alibaba_listing_id,supplier_profile_url,supplier_sku,selected_variant,selected_finish,selected_size,unit_cost,unit_cost_confidence,moq,sample_price,est_shipping_cost,est_landed_cost,recommended_retail_price,expected_gross_margin,supplier_status,verified_supplier,trade_assurance,ip_risk_status,ip_risk_notes,verification_status,last_verified_date,notes
"gid://shopify/Product/10521818661048","north-pearl-rectangle-birthstone-pendant-necklace","North & Pearl Rectangle Birthstone Pendant Necklace","CORE","Shenzhen Lan Shang Jewelry Co.,ltd.","Birthstone Necklaces 18k Gold Plated Stainless Steel Pendant Necklace Hypoallergenic Non Tarnish Waterproof Jewelry","https://www.alibaba.com/product-detail/Birthstone-Necklaces-18k-Gold-Plated-Stainless_1601205257912.html","1601205257912","https://www.alibaba.com/product-detail/Birthstone-Necklaces-18k-Gold-Plated-Stainless_1601205257912.html","UNKNOWN","Birth Month variants","Visible finish/color shown; exact material/finish unverified","Birth Month variants","$2.4","SUPPLIER CLAIM/listing price","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","$59.00","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","GREEN","No unresolved third-party branding/trademark issue in selected public images","Batch 10 full-gallery validated; source metafields present; public copy claim-safe","2026-08-11","Batch 10 sourced product; selected public images only"
"gid://shopify/Product/10521818759352","north-pearl-trillion-birthstone-bracelet","North & Pearl Trillion Birthstone Bracelet","CORE","Yiwu Gemnel Jewelry Co., Ltd.","Gemnel Sterling Silver 18k Gold Cz Trillion Birthstone Ruby Customized Gemstone Bracelet","https://www.alibaba.com/product-detail/Gemnel-Sterling-Silver-18k-Gold-Cz_1600463382235.html","1600463382235","https://www.alibaba.com/product-detail/Gemnel-Sterling-Silver-18k-Gold-Cz_1600463382235.html","UNKNOWN","Birth Month variants","Visible finish/color shown; exact material/finish unverified","Birth Month variants","$5.4","SUPPLIER CLAIM/listing price","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","$59.00","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","GREEN","No unresolved third-party branding/trademark issue in selected public images","Batch 10 full-gallery validated; source metafields present; public copy claim-safe","2026-08-11","Batch 10 sourced product; selected public images only"
"gid://shopify/Product/10521818824888","north-pearl-beaded-birthstone-bracelet","North & Pearl Beaded Birthstone Bracelet","CORE","Yiwu Hanluan Jewelry Co., Ltd.","Dainty 12 Birthstone Bracelet 3mm Faced Cut Gemstone Beads Bracelet Stainless Steel Chain Boho Jewelry Gift for Her","https://www.alibaba.com/product-detail/Dainty-12-Birthstone-Bracelet-3mm-Faced_1601512254655.html","1601512254655","https://www.alibaba.com/product-detail/Dainty-12-Birthstone-Bracelet-3mm-Faced_1601512254655.html","UNKNOWN","Birth Month variants","Visible finish/color shown; exact material/finish unverified","Birth Month variants","$1.33","SUPPLIER CLAIM/listing price","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","$49.00","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","GREEN","No unresolved third-party branding/trademark issue in selected public images","Batch 10 full-gallery validated; source metafields present; public copy claim-safe","2026-08-11","Batch 10 sourced product; selected public images only"
"gid://shopify/Product/10521818890424","north-pearl-personalized-name-birth-flower-bracelet","North & Pearl Personalized Name Birth Flower Bracelet","CORE","Yiwu Qiuhan Jewelry Company Ltd.","QIUHAN Pink Birthstone Engraved Letter Zircon Chain Cute Bracelets for Valentine's Day Gift Custom Name Bear Bracelet","https://www.alibaba.com/product-detail/QIUHAN-Pink-Birthstone-Engraved-Letter-Zircon_1601348603636.html","1601348603636","https://www.alibaba.com/product-detail/QIUHAN-Pink-Birthstone-Engraved-Letter-Zircon_1601348603636.html","UNKNOWN","Default source variant shown in selected product imagery","Visible finish/color shown; exact material/finish unverified","Default variant","$2.99","SUPPLIER CLAIM/listing price","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","$69.00","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","GREEN","No unresolved third-party branding/trademark issue in selected public images","Batch 10 full-gallery validated; source metafields present; public copy claim-safe","2026-08-11","Batch 10 sourced product; selected public images only"
"gid://shopify/Product/10521818923192","north-pearl-dainty-birthstone-bead-bracelet","North & Pearl Dainty Birthstone Bead Bracelet","ENTRY","Guangzhou Hong Zhuo Jewelry Co., Ltd.","Handmade Adjustable Gold Protective Birthstone Bead Bracelet with Natural Stones Set Wholesale","https://www.alibaba.com/product-detail/Handmade-Adjustable-Gold-Protective-Birthstone-Bead_1601270296072.html","1601270296072","https://www.alibaba.com/product-detail/Handmade-Adjustable-Gold-Protective-Birthstone-Bead_1601270296072.html","UNKNOWN","Birth Month variants","Visible finish/color shown; exact material/finish unverified","Birth Month variants","$0.8","SUPPLIER CLAIM/listing price","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","$39.00","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","GREEN","No unresolved third-party branding/trademark issue in selected public images","Batch 10 full-gallery validated; source metafields present; public copy claim-safe","2026-08-11","Batch 10 sourced product; selected public images only"
"gid://shopify/Product/10521818988728","north-pearl-marquise-birthstone-bracelet","North & Pearl Marquise Birthstone Bracelet","CORE","Yiwu Nimai Craft Co., Ltd.","Simple Fine Jewelry 12 Birthstone Bracelets 18K Gold Marquise Zircon Pearl Geometric Pendant Stainless Steel Trendy Link Chain","https://www.alibaba.com/product-detail/Simple-Fine-Jewelry-12-Birthstone-Bracelets_1601710655526.html","1601710655526","https://www.alibaba.com/product-detail/Simple-Fine-Jewelry-12-Birthstone-Bracelets_1601710655526.html","UNKNOWN","Birth Month variants","Visible finish/color shown; exact material/finish unverified","Birth Month variants","$1.58","SUPPLIER CLAIM/listing price","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","$49.00","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","GREEN","No unresolved third-party branding/trademark issue in selected public images","Batch 10 full-gallery validated; source metafields present; public copy claim-safe","2026-08-11","Batch 10 sourced product; selected public images only"
"gid://shopify/Product/10521819152568","north-pearl-family-heart-charm-bracelet","North & Pearl Family Heart Charm Bracelet","CORE","Dongguan Inspire Stainless Steel Jewelry Co., Ltd.","Inspire Stainless Steel Jewelry Heart Birthstone with Paper Clips Chain Bracelet Diy Personalized Engraved Name Bracelet","https://www.alibaba.com/product-detail/Inspire-Stainless-Steel-Jewelry-Heart-Birthstone_1601508499558.html","1601508499558","https://www.alibaba.com/product-detail/Inspire-Stainless-Steel-Jewelry-Heart-Birthstone_1601508499558.html","UNKNOWN","Default source variant shown in selected product imagery","Visible finish/color shown; exact material/finish unverified","Default variant","$5.15","SUPPLIER CLAIM/listing price","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","$69.00","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","GREEN","No unresolved third-party branding/trademark issue in selected public images","Batch 10 full-gallery validated; source metafields present; public copy claim-safe","2026-08-11","Batch 10 sourced product; selected public images only"
"North & Pearl Stacking Birth Month Ring","gid://shopify/Product/10521840943288","north-pearl-stacking-birth-month-ring","CORE","Yiwu Gemnel Jewelry Co., Ltd.","Gemnel 2026 New Trendy High Quality Gold Vermeil Handcrafted 925 Silver Jewellery Birthstone Stacking Rings","https://www.alibaba.com/product-detail/Gemnel-2026-New-Trendy-High-Quality_1601581601203.html","1601581601203","https://www.alibaba.com/product-detail/Gemnel-2026-New-Trendy-High-Quality_1601581601203.html","Ring","GREEN","APPROVE","UNKNOWN","$6.0","UNKNOWN","UNKNOWN","$64.00","UNKNOWN","2026-08-11","Clean multi-angle ring imagery; fills birthstone/stacking ring gap; no visible third-party branding in selected public images."
"North & Pearl Infinity Heart Birthstone Ring","gid://shopify/Product/10521841008824","north-pearl-infinity-heart-birthstone-ring","CORE","Guangzhou Peishang Jewelry Co., Ltd.","Custom 925 Sterling Silver Gold Plated Jewelry Eternity Large Ring Real Stone Infinity Adjustable Heart Couples Birthstone Rings","https://www.alibaba.com/product-detail/Custom-925-Sterling-Silver-Gold-Plated_1601288912269.html","1601288912269","https://www.alibaba.com/product-detail/Custom-925-Sterling-Silver-Gold-Plated_1601288912269.html","Ring","GREEN","APPROVE","UNKNOWN","$4.98","UNKNOWN","UNKNOWN","$69.00","UNKNOWN","2026-08-11","Clear product detail and color-option imagery; strong giftable couple/family ring concept; no visible third-party branding in selected public images."
"North & Pearl Minimal Birthstone Open Ring","gid://shopify/Product/10521841041592","north-pearl-minimal-birthstone-open-ring","CORE","Yiwu Ican Jewelry Co., Ltd.","Trendy Minimalist Gold Plated Stainless Steel Birthstone Ring Open Colorful CZ Birthday Ring Waterproof Tarnish Free Jewelry","https://www.alibaba.com/product-detail/Trendy-Minimalist-Gold-Plated-Stainless-Steel_1600843677225.html","1600843677225","https://www.alibaba.com/product-detail/Trendy-Minimalist-Gold-Plated-Stainless-Steel_1600843677225.html","Ring","GREEN","APPROVE","UNKNOWN","$0.74","UNKNOWN","UNKNOWN","$49.00","UNKNOWN","2026-08-11","Strong warm product imagery; commercially useful entry/core ring; no visible third-party branding in selected public images."
"North & Pearl Family Birthstone Open Ring","gid://shopify/Product/10521841107128","north-pearl-family-birthstone-open-ring","CORE","Yiwu Dingying Jewelry Co., Ltd.","Fashion Jewelry Family Birthstone Open Ring 18k Gold Colorful Zircon Stackable Adjustable Ring Stainless Steel Geometric Ring","https://www.alibaba.com/product-detail/Fashion-Jewelry-Family-Birthstone-Open-Ring_1600911600903.html","1600911600903","https://www.alibaba.com/product-detail/Fashion-Jewelry-Family-Birthstone-Open-Ring_1600911600903.html","Ring","GREEN","APPROVE","UNKNOWN","$2.34","UNKNOWN","UNKNOWN","$59.00","UNKNOWN","2026-08-11","Clean family/birthstone ring imagery; meaningful gift angle; no visible third-party branding in selected public images."
"North & Pearl Wave Birthstone Statement Ring","gid://shopify/Product/10521841172664","north-pearl-wave-birthstone-statement-ring","CORE","Yiwu Songyi E-Commerce Co., Ltd.","SongYi Dropshiping Mother's Day Valentine's Day Birthstone S-Shaped Creative Ring 12 Months Birthstone Personalized","https://www.alibaba.com/product-detail/SongYi-Dropshiping-Mother-s-Day-Valentine_1601754711945.html","1601754711945","https://www.alibaba.com/product-detail/SongYi-Dropshiping-Mother-s-Day-Valentine_1601754711945.html","Ring","GREEN","APPROVE","UNKNOWN","$5.88","UNKNOWN","UNKNOWN","$79.00","UNKNOWN","2026-08-11","Distinct shape and premium visual presence; supports higher-core ring merchandising; no visible third-party branding in selected public images."
"North & Pearl Oval Color Accent Ring","gid://shopify/Product/10521841238200","north-pearl-oval-color-accent-ring","CORE","Yiwu Lingyin Jewelry Co., Ltd.","Custom Cheap Good Price Diamond Ring 18k Gold 925 Silver Cheap Birthstone Rings","https://www.alibaba.com/product-detail/Custom-Cheap-Good-Price-Diamond-Ring_62198705540.html","62198705540","https://www.alibaba.com/product-detail/Custom-Cheap-Good-Price-Diamond-Ring_62198705540.html","Ring","GREEN","APPROVE","UNKNOWN","$14.7","UNKNOWN","UNKNOWN","$89.00","UNKNOWN","2026-08-11","Visually clean ring gallery despite claim-heavy supplier title; useful premium ring option if public copy stays neutral."
"North & Pearl Opal-Style Birth Month Ring","gid://shopify/Product/10521841402040","north-pearl-opal-style-birth-month-ring","CORE","Zhuhai Jinyuan Jewelry Co., Ltd.","Jewelry Free Shipping Envio Gratis 925 Sterling Silver Gemstone Rings Sterling Silver Birthstone Ring","https://www.alibaba.com/product-detail/Jewelry-Free-Shipping-Envio-Gratis-925_62399645002.html","62399645002","https://www.alibaba.com/product-detail/Jewelry-Free-Shipping-Envio-Gratis-925_62399645002.html","Ring","GREEN","APPROVE","UNKNOWN","$20.46","UNKNOWN","UNKNOWN","$99.00","UNKNOWN","2026-08-11","Distinct opal-style ring look and strong visual differentiation; no visible third-party branding in selected public images."
"North & Pearl Flower Birthstone Open Ring","gid://shopify/Product/10521841467576","north-pearl-flower-birthstone-open-ring","CORE","Yiwu Gt Accessories Co., Ltd.","Fashion S925 Sterling Silver 12 Birthstone Ring with Colorful Zircon Opening Adjustable Ring Flower Shaped Open Adjustable Ring","https://www.alibaba.com/product-detail/Fashion-S925-Sterling-Silver-12-Birthstone_1601441295992.html","1601441295992","https://www.alibaba.com/product-detail/Fashion-S925-Sterling-Silver-12-Birthstone_1601441295992.html","Ring","GREEN","APPROVE","UNKNOWN","$9.5","UNKNOWN","UNKNOWN","$69.00","UNKNOWN","2026-08-11","Clean flower/birth-month ring concept; selected gallery excludes supplier claim/spec graphics; no visible third-party branding."
"North & Pearl Initial Charm Earrings","gid://shopify/Product/10521841500344","north-pearl-initial-charm-earrings","CORE","Dongguan Garrywell Technology Co., Ltd.","None Tarnished Initial Letter Alphabet Number Pendant DIY Necklace Bracelet Earring 18K Stainless Steel Charm for Jewelry Making","https://www.alibaba.com/product-detail/None-Tarnished-Initial-Letter-Alphabet-Number_1601271364938.html","1601271364938","https://www.alibaba.com/product-detail/None-Tarnished-Initial-Letter-Alphabet-Number_1601271364938.html","Earrings","GREEN","APPROVE","UNKNOWN","$0.43","UNKNOWN","UNKNOWN","$39.00","UNKNOWN","2026-08-11","Initial/letter product supports personalization category; exclude supplier recommendation collage from public gallery; no visible third-party branding in selected images."
"North & Pearl Classic Huggie Hoop Earrings","gid://shopify/Product/10521841533112","north-pearl-classic-huggie-hoop-earrings","CORE","Dongguan Jiexing Jewelry Accessories Co., Ltd.","Jewelry Findings Wholesale Simple Design Round Shape 14K Gold Plated Thick Initial Huggie Hoop Earrings","https://www.alibaba.com/product-detail/Jewelry-Findings-Wholesale-Simple-Design-Round_1601051613660.html","1601051613660","https://www.alibaba.com/product-detail/Jewelry-Findings-Wholesale-Simple-Design-Round_1601051613660.html","Earrings","GREEN","APPROVE","UNKNOWN","$0.56","UNKNOWN","UNKNOWN","$39.00","UNKNOWN","2026-08-11","Clean simple hoop imagery; strong ready-to-order earring gap filler; exclude supplier customization claim graphic."
"North & Pearl Essential Huggie Earrings","gid://shopify/Product/10521841762488","north-pearl-essential-huggie-earrings","CORE","Yiwu Gemnel Jewelry Co., Ltd.","18k Gold Huggie Earrings Essential Classic Huggie","https://www.alibaba.com/product-detail/18k-Gold-Huggie-Earrings-Essential-Classic_1601111637625.html","1601111637625","https://www.alibaba.com/product-detail/18k-Gold-Huggie-Earrings-Essential-Classic_1601111637625.html","Earrings","GREEN","APPROVE","UNKNOWN","$6.4","UNKNOWN","UNKNOWN","$49.00","UNKNOWN","2026-08-11","Strong lifestyle scale imagery and size-choice merchandising; no visible third-party branding in selected public images."
"North & Pearl Minimal Everyday Hoop Earrings","gid://shopify/Product/10521841893560","north-pearl-minimal-everyday-hoop-earrings","CORE","Shenzhen Lan Shang Jewelry Co.,ltd.","Fine Jewelry Earrings Minimalist Small 6mm-20mm 18k Gold Plated Cartilage 925 Sterling Silver Huggies Hoop Earrings","https://www.alibaba.com/product-detail/Fine-Jewelry-Earrings-Minimalist-Small-6mm_1600924421977.html","1600924421977","https://www.alibaba.com/product-detail/Fine-Jewelry-Earrings-Minimalist-Small-6mm_1600924421977.html","Earrings","GREEN","APPROVE","UNKNOWN","$7.38","UNKNOWN","UNKNOWN","$49.00","UNKNOWN","2026-08-11","Clean hoop assortment imagery; useful size/finish option product; selected gallery avoids overclaiming where possible."
"North & Pearl Enamel Clover Huggie Earrings","gid://shopify/Product/10521844908216","north-pearl-enamel-clover-huggie-earrings","CORE","Dongguan Dingran Jewelry Co., Ltd.","Ding Ran High Fashion Enamel Four-Leaf Clover Huggie Earrings Stainless Steel Cute Earrings","https://www.alibaba.com/product-detail/Ding-Ran-High-Fashion-Enamel-Four_1600887748867.html","1600887748867","https://www.alibaba.com/product-detail/Ding-Ran-High-Fashion-Enamel-Four_1600887748867.html","Earrings","GREEN","APPROVE","UNKNOWN","$2.76","UNKNOWN","UNKNOWN","$49.00","UNKNOWN","2026-08-11","Colorful giftable huggie style with usable product/lifestyle imagery; no visible third-party branding in selected public images."
gid://shopify/Product/10559104516280,north-pearl-freshwater-pearl-necklace-bracelet-earring-set,North & Pearl Freshwater Pearl Necklace Bracelet & Earring Set,CORE,UNKNOWN,"Fine 925 Silver Jewelry Design Mother's Day Gift Pearl Necklace Jewelry Sets 9mm White Natural Freshwater Pearl Necklace Women",https://www.alibaba.com/product-detail/Fine-925-Silver-Jewelry-Design-Mother_1601287501801.html,1601287501801,UNKNOWN,UNKNOWN,"Default set",UNKNOWN,UNKNOWN,$17.28-18.28,SUPPLIER CLAIM/listing price,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,$69.00,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,GREEN,"4 images viewed at full resolution, no watermarks/counterfeit branding/mismatched product","Images verified by Claude 2026-09-02; supplier/cost/MOQ not yet verified",2026-09-02,"Created via productSet, published, 20 qty set at location gid://shopify/Location/110115094712"
