Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Variant Compare At Price,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,SEO Title,SEO Description,Status
initial-bracelet,Initial Bracelet,"<p>A minimal initial bracelet for a subtle personalized gift. Material details are pending supplier confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry > Bracelets,Bracelet,"initial-bracelet,personalized,minimal-jewelry",FALSE,Initial,A,Finish,Pending confirmation,49.00,65.00,deny,manual,TRUE,TRUE,Initial Bracelet | Personalized Initial Jewelry | North & Pearl,"A personalized initial bracelet made for simple everyday gifting and meaningful style.",draft
engraved-couple-bracelet,Engraved Couple Bracelet,"<p>A personalized bracelet for names, dates, initials, or meaningful couple details. Material details are pending supplier confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry > Bracelets,Bracelet,"couple-bracelet,engraved,anniversary,personalized",FALSE,Finish,Pending confirmation,Size,Pending confirmation,69.00,89.00,deny,manual,TRUE,TRUE,Engraved Couple Bracelet | Personalized Anniversary Gift | North & Pearl,"Shop engraved couple bracelets for anniversaries, partners, dates, initials, and meaningful relationship gifts.",draft
personalized-ring,Personalized Ring,"<p>A personalized ring concept for initials, names, dates, or meaningful symbols. Material details are pending supplier confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry > Rings,Ring,"personalized-ring,gift-for-her,anniversary",FALSE,Size,Pending confirmation,Finish,Pending confirmation,59.00,79.00,deny,manual,TRUE,TRUE,Personalized Ring | Custom Jewelry Gift | North & Pearl,"A personalized ring designed for initials, names, dates, and meaningful gifting moments.",draft
birthstone-ring,Birthstone Ring,"<p>A birthstone-inspired ring concept for birthdays, mothers, and milestone gifting. Stone and material details are pending supplier confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry > Rings,Ring,"birthstone-ring,birthday-gift,mother-gift",FALSE,Birth Month,January,Size,Pending confirmation,69.00,89.00,deny,manual,TRUE,TRUE,Birthstone Ring | Personalized Birth Month Gift | North & Pearl,"A birthstone-inspired ring for birthdays, mothers, anniversaries, and milestone jewelry gifts.",draft
initial-stud-earrings,Initial Stud Earrings,"<p>Initial stud earrings designed for subtle personalization and everyday gifting. Material details are pending supplier confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry > Earrings,Earrings,"initial-earrings,stud-earrings,personalized",FALSE,Initial,A,Finish,Pending confirmation,39.00,55.00,deny,manual,TRUE,TRUE,Initial Stud Earrings | Personalized Earrings | North & Pearl,"Shop initial stud earrings for minimal personalized style and meaningful everyday gifts.",draft
custom-hoop-earrings,Custom Hoop Earrings,"<p>Personalized hoop earrings concept for initials or meaningful details. Material details are pending supplier confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry > Earrings,Earrings,"hoop-earrings,personalized,gift-for-her",FALSE,Finish,Pending confirmation,Size,Pending confirmation,59.00,79.00,deny,manual,TRUE,TRUE,Custom Hoop Earrings | Personalized Hoop Jewelry | North & Pearl,"Personalized hoop earrings designed for modern gifting and everyday meaningful style.",draft
bridesmaid-gift-necklace,Bridesmaid Gift Necklace,"<p>A gift-ready necklace concept for bridesmaids, maid of honor, and wedding thank-you moments. Material details are pending supplier confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry > Necklaces,Necklace,"bridesmaid-gift,wedding,personalized",FALSE,Finish,Pending confirmation,Length,Pending confirmation,69.00,89.00,deny,manual,TRUE,TRUE,Bridesmaid Gift Necklace | Wedding Jewelry Gift | North & Pearl,"A personalized bridesmaid gift necklace for wedding parties, thank-you gifts, and meaningful bridal moments.",draft
mothers-day-gift-set,Mother's Day Gift Set,"<p>A Mother's Day gift set concept built around personalized jewelry and gift-ready presentation. Final contents are pending approval.</p>",North & Pearl,Apparel & Accessories > Jewelry,Gift Set,"mothers-day,mother-gift,gift-set,personalized",FALSE,Set,Pending confirmation,Finish,Pending confirmation,99.00,129.00,deny,manual,TRUE,TRUE,Mother's Day Gift Set | Personalized Jewelry Gift | North & Pearl,"A personalized Mother's Day jewelry gift set concept for meaningful family gifting.",draft
luxury-jewelry-gift-box,Luxury Jewelry Gift Box,"<p>A premium gift box add-on concept for a more elevated jewelry gifting experience. Packaging details are pending confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry Accessories,Gift Box,"gift-box,packaging,upsell",FALSE,Size,Standard,Color,Pending confirmation,14.99,19.99,deny,manual,TRUE,TRUE,Luxury Jewelry Gift Box | Gift Packaging Add-On | North & Pearl,"Add premium gift-ready packaging to make a personalized jewelry order feel more special.",draft
digital-gift-card,Digital Gift Card,"<p>A flexible digital gift card for someone who wants to choose their own meaningful personalized piece.</p>",North & Pearl,Gift Cards,Gift Card,"gift-card,last-minute-gift",FALSE,Value,25,Delivery,Digital,25.00,,deny,manual,FALSE,TRUE,North & Pearl Digital Gift Card | Personalized Jewelry Gift,"Give a North & Pearl digital gift card so they can choose a personalized jewelry piece made for their meaningful moment.",draft
