Tier,URL,Google Status,Coverage State,Last Crawl,Referring URLs Reported,Crawl Allowed,Indexing State,Canonical Match,INDEX_READY,Next Action
Tier 1,https://northandpearl.com/collections/best-sellers,Indexed,Submitted and indexed,2026-08-03T02:47:48Z,3,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 1,https://northandpearl.com/collections/new-arrivals,Indexed,Submitted and indexed,2026-08-03T03:02:14Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 2,https://northandpearl.com/collections/necklaces,Indexed,Submitted and indexed,2026-08-03T05:25:01Z,3,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 2,https://northandpearl.com/collections/bracelets,Indexed,Submitted and indexed,2026-08-03T13:34:14Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 2,https://northandpearl.com/collections/rings,Indexed,Submitted and indexed,2026-08-03T09:36:09Z,3,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 2,https://northandpearl.com/collections/earrings,Indexed,Submitted and indexed,2026-08-03T04:34:58Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 2,https://northandpearl.com/collections/gifts,Indexed,Submitted and indexed,2026-08-03T02:04:27Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 2,https://northandpearl.com/collections/mothers-collection,Indexed,Submitted and indexed,2026-08-03T04:13:33Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 2,https://northandpearl.com/collections/wedding-bridesmaids,Indexed,Submitted and indexed,2026-08-03T01:06:00Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 1,https://northandpearl.com/blogs/gift-guide/meaningful-jewelry-gifts-to-shop-this-week,Indexed,Submitted and indexed,2026-08-03T09:05:48Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 2,https://northandpearl.com/products/north-pearl-initial-shell-necklace,Indexed,Submitted and indexed,2026-08-04T23:34:34Z,1,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 2,https://northandpearl.com/products/north-pearl-iridescent-pendant-necklace,Indexed,Submitted and indexed,2026-08-04T23:59:31Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 2,https://northandpearl.com/products/north-pearl-heart-keepsake-necklace,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-flower-nail-bangle,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-color-accent-cuff,Indexed,Submitted and indexed,2026-08-04T18:57:13Z,1,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 2,https://northandpearl.com/products/north-pearl-sparkle-accent-bracelet,Crawled/not indexed,Crawled - currently not indexed,2026-08-05T00:16:23Z,0,ALLOWED,INDEXING_ALLOWED,True,YES,Improve uniqueness/merchandising; avoid URL churn; monitor next crawl.
Tier 2,https://northandpearl.com/products/north-pearl-bridal-water-drop-set,Indexed,Submitted and indexed,2026-08-04T23:17:22Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 2,https://northandpearl.com/products/north-pearl-hollow-flower-bangle-set,Indexed,Submitted and indexed,2026-08-04T23:30:19Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 2,https://northandpearl.com/products/north-pearl-pink-heart-bow-bracelet,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-dainty-flower-necklace,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-clover-charm-bracelet,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-personalized-nameplate-necklace,Discovered/not indexed,Discovered - currently not indexed,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Improve internal demand signals and page differentiation; selectively request indexing in GSC UI if Tier 1.
Tier 2,https://northandpearl.com/products/north-pearl-twine-band-ring,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-water-drop-jewelry-set,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-sparkle-pulse-bracelet,Indexed,Submitted and indexed,2026-08-04T23:13:08Z,0,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 2,https://northandpearl.com/products/north-pearl-mixed-charm-bangle,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-warm-bead-stretch-bracelet,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-chunky-bead-bracelet,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-v-water-drop-jewelry-set,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-sleek-flex-bracelet,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-sweetheart-pendant-necklace,Indexed,Submitted and indexed,2026-08-05T00:41:41Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 2,https://northandpearl.com/products/north-pearl-sparkle-halo-bracelet,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-modern-statement-ring,Indexed,Submitted and indexed,2026-08-03T09:21:10Z,1,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 2,https://northandpearl.com/products/north-pearl-heart-bracelet,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-sparkle-row-bracelet,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-smooth-flex-bracelet,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-bead-bracelet,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-sparkle-link-bracelet,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-heart-charm-necklace,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
Tier 2,https://northandpearl.com/products/north-pearl-bloom-charm-bracelet,Unknown to Google,URL is unknown to Google,,0,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Strengthen internal links from indexed collections/home; keep URL stable; re-inspect after Google recrawls.
