title,handle,score,images,minWidth,minHeight,productType,sourceTags,sourceUrlTags,url
"North & Pearl Classic Love Pendant","north-pearl-heart-necklace-8734","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601099288734","","https://northandpearl.com/products/north-pearl-heart-necklace-8734"
"North & Pearl Dainty Flower Necklace","north-pearl-dainty-flower-necklace","ACCEPTABLE_TEMP","6","800","800","Necklace","","","https://northandpearl.com/products/north-pearl-dainty-flower-necklace"
"North & Pearl Dainty Initial Necklace","north-pearl-initial-necklace-0100","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601570640100","","https://northandpearl.com/products/north-pearl-initial-necklace-0100"
"North & Pearl Dainty Letter Necklace","north-pearl-letter-necklace-0758","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601262520758","","https://northandpearl.com/products/north-pearl-letter-necklace-0758"
"North & Pearl Dainty Letter Tag Necklace","north-pearl-letter-necklace-0689","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601716610689","","https://northandpearl.com/products/north-pearl-letter-necklace-0689"
"North & Pearl Dainty Name Pendant Necklace","north-pearl-name-necklace-5254","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601525845254","","https://northandpearl.com/products/north-pearl-name-necklace-5254"
"North & Pearl Everyday Name Necklace","north-pearl-name-necklace-4975","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1600194854975","","https://northandpearl.com/products/north-pearl-name-necklace-4975"
"North & Pearl Floating Nameplate Necklace","north-pearl-name-necklace-1956","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1600293661956","","https://northandpearl.com/products/north-pearl-name-necklace-1956"
"North & Pearl Flower Earrings","north-pearl-flower-earrings","ACCEPTABLE_TEMP","6","800","800","Earrings","alibaba-source-1601211639171","","https://northandpearl.com/products/north-pearl-flower-earrings"
"North & Pearl Flower Nail Bangle","north-pearl-flower-nail-bangle","ACCEPTABLE_TEMP","6","800","800","Bracelet","","","https://northandpearl.com/products/north-pearl-flower-nail-bangle"
"North & Pearl Framed Initial Necklace","north-pearl-initial-necklace-6868","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601270196868","","https://northandpearl.com/products/north-pearl-initial-necklace-6868"
"North & Pearl Framed Initial Pendant Necklace","north-pearl-initial-necklace-6142","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601689666142","","https://northandpearl.com/products/north-pearl-initial-necklace-6142"
"North & Pearl Framed Letter Necklace","north-pearl-letter-necklace-3046","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1600458633046","","https://northandpearl.com/products/north-pearl-letter-necklace-3046"
"North & Pearl Giftable Bloom Bracelet","north-pearl-flower-bracelet","ACCEPTABLE_TEMP","6","800","800","Bracelet","alibaba-source-1601488520548","","https://northandpearl.com/products/north-pearl-flower-bracelet"
"North & Pearl Giftable Letter Bracelet","north-pearl-letter-bracelet-5859","ACCEPTABLE_TEMP","6","800","800","Bracelet","alibaba-source-1601452605859","","https://northandpearl.com/products/north-pearl-letter-bracelet-5859"
"North & Pearl Giftable Letter Necklace","north-pearl-letter-necklace-7036","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601710837036","","https://northandpearl.com/products/north-pearl-letter-necklace-7036"
"North & Pearl Giftable Name Jewelry Set","north-pearl-name-jewelry-set-0376","ACCEPTABLE_TEMP","6","800","800","Gift Set","alibaba-source-1600688200376","","https://northandpearl.com/products/north-pearl-name-jewelry-set-0376"
"North & Pearl Giftable Nameplate Necklace","north-pearl-name-necklace-8379","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601290258379","","https://northandpearl.com/products/north-pearl-name-necklace-8379"
"North & Pearl Giftable Sparkle Bracelet","north-pearl-sparkle-bracelet-3594","ACCEPTABLE_TEMP","6","800","800","Bracelet","alibaba-source-1601717143594","","https://northandpearl.com/products/north-pearl-sparkle-bracelet-3594"
"North & Pearl Giftable Statement Ring","north-pearl-signature-ring-0279","ACCEPTABLE_TEMP","6","800","800","Ring","alibaba-source-1601460850279","","https://northandpearl.com/products/north-pearl-signature-ring-0279"
"North & Pearl Heart Charm Necklace","north-pearl-heart-charm-necklace","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601427714000","","https://northandpearl.com/products/north-pearl-heart-charm-necklace"
"North & Pearl Heart Earrings","north-pearl-heart-earrings","ACCEPTABLE_TEMP","6","800","800","Earrings","alibaba-source-1601590106500","","https://northandpearl.com/products/north-pearl-heart-earrings"
"North & Pearl Initial Shell Necklace","north-pearl-initial-shell-necklace","ACCEPTABLE_TEMP","6","800","800","Necklace","","","https://northandpearl.com/products/north-pearl-initial-shell-necklace"
"North & Pearl Keepsake Bloom Necklace","north-pearl-flower-necklace-7949","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1600433027949","","https://northandpearl.com/products/north-pearl-flower-necklace-7949"
"North & Pearl Keepsake Giftable Name Necklace","north-pearl-name-necklace-9635","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-62159779635","","https://northandpearl.com/products/north-pearl-name-necklace-9635"
"North & Pearl Keepsake Heart Pendant Necklace","north-pearl-heart-necklace-2923","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601846852923","","https://northandpearl.com/products/north-pearl-heart-necklace-2923"
"North & Pearl Keepsake Letter Bracelet","north-pearl-letter-bracelet-4295","ACCEPTABLE_TEMP","6","800","800","Bracelet","alibaba-source-1601861674295","","https://northandpearl.com/products/north-pearl-letter-bracelet-4295"
"North & Pearl Keepsake Sparkle Ring","north-pearl-sparkle-ring-6187","ACCEPTABLE_TEMP","6","800","800","Ring","alibaba-source-1600430776187","","https://northandpearl.com/products/north-pearl-sparkle-ring-6187"
"North & Pearl Layering Dainty Initial Necklace","north-pearl-initial-necklace-8531","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1600958108531","","https://northandpearl.com/products/north-pearl-initial-necklace-8531"
"North & Pearl Layering Giftable Name Necklace","north-pearl-name-necklace-8099","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1600649568099","","https://northandpearl.com/products/north-pearl-name-necklace-8099"
"North & Pearl Layering Initial Necklace","north-pearl-initial-necklace-3299","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601436793299","","https://northandpearl.com/products/north-pearl-initial-necklace-3299"
"North & Pearl Layering Letter Necklace","north-pearl-letter-necklace-5572","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1600923985572","","https://northandpearl.com/products/north-pearl-letter-necklace-5572"
"North & Pearl Layering Name Necklace","north-pearl-name-necklace-1495","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601290071495","","https://northandpearl.com/products/north-pearl-name-necklace-1495"
"North & Pearl Layering Polished Initial Necklace","north-pearl-initial-necklace-8309","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601450388309","","https://northandpearl.com/products/north-pearl-initial-necklace-8309"
"North & Pearl Minimal Letter Pendant","north-pearl-letter-necklace-4171","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601191814171","","https://northandpearl.com/products/north-pearl-letter-necklace-4171"
"North & Pearl Mixed Charm Bangle","north-pearl-mixed-charm-bangle","ACCEPTABLE_TEMP","6","800","800","Bracelet","","","https://northandpearl.com/products/north-pearl-mixed-charm-bangle"
"North & Pearl Modern Name Necklace","north-pearl-name-necklace-6376","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601722986376","","https://northandpearl.com/products/north-pearl-name-necklace-6376"
"North & Pearl Open Heart Pendant Necklace","north-pearl-heart-necklace-3361","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601195203361","","https://northandpearl.com/products/north-pearl-heart-necklace-3361"
"North & Pearl Pendant Classic Name Necklace","north-pearl-name-necklace-7005","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1600551467005","","https://northandpearl.com/products/north-pearl-name-necklace-7005"
"North & Pearl Pendant Dainty Initial Necklace","north-pearl-initial-necklace-7793","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601853387793","","https://northandpearl.com/products/north-pearl-initial-necklace-7793"
"North & Pearl Pendant Keepsake Letter Necklace","north-pearl-letter-necklace-9838","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601784199838","","https://northandpearl.com/products/north-pearl-letter-necklace-9838"
"North & Pearl Personal Name Necklace","north-pearl-name-necklace-7245","ACCEPTABLE_TEMP","6","800","798","Necklace","alibaba-source-11000005677245","","https://northandpearl.com/products/north-pearl-name-necklace-7245"
"North & Pearl Polished Bloom Bracelet","north-pearl-flower-bracelet-8870","ACCEPTABLE_TEMP","6","800","800","Bracelet","alibaba-source-1601125888870","","https://northandpearl.com/products/north-pearl-flower-bracelet-8870"
"North & Pearl Polished Jewelry Set","north-pearl-signature-jewelry-set-8616","ACCEPTABLE_TEMP","6","800","800","Gift Set","alibaba-source-1601094168616","","https://northandpearl.com/products/north-pearl-signature-jewelry-set-8616"
"North & Pearl Polished Pendant Necklace","north-pearl-signature-necklace-8214","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601351748214","","https://northandpearl.com/products/north-pearl-signature-necklace-8214"
"North & Pearl Polished Sparkle Ring","north-pearl-sparkle-ring-4269","ACCEPTABLE_TEMP","6","800","800","Ring","alibaba-source-1600487604269","","https://northandpearl.com/products/north-pearl-sparkle-ring-4269"
"North & Pearl Refined Sparkle Earrings","north-pearl-sparkle-earrings-8738","ACCEPTABLE_TEMP","6","800","800","Earrings","alibaba-source-1600427688738","","https://northandpearl.com/products/north-pearl-sparkle-earrings-8738"
"North & Pearl Sculpted Heart Pendant","north-pearl-heart-necklace","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601370023994","","https://northandpearl.com/products/north-pearl-heart-necklace"
"North & Pearl Sculpted Heart Pendant Necklace","north-pearl-heart-necklace-7284","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601794627284","","https://northandpearl.com/products/north-pearl-heart-necklace-7284"
"North & Pearl Sleek Flex Bracelet","north-pearl-sleek-flex-bracelet","ACCEPTABLE_TEMP","6","800","800","Bracelet","alibaba-source-1600916347288","","https://northandpearl.com/products/north-pearl-sleek-flex-bracelet"
"North & Pearl Slim Letter Pendant Necklace","north-pearl-letter-necklace-2210","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1600876242210","","https://northandpearl.com/products/north-pearl-letter-necklace-2210"
"North & Pearl Smooth Flex Bracelet","north-pearl-smooth-flex-bracelet","ACCEPTABLE_TEMP","6","800","800","Bracelet","alibaba-source-1601110650353","","https://northandpearl.com/products/north-pearl-smooth-flex-bracelet"
"North & Pearl Smooth Layering Bracelet","north-pearl-snake-chain-bracelet","ACCEPTABLE_TEMP","6","800","800","Bracelet","alibaba-source-1601223920431","","https://northandpearl.com/products/north-pearl-snake-chain-bracelet"
"North & Pearl Sparkle Accent Bracelet","north-pearl-sparkle-accent-bracelet","ACCEPTABLE_TEMP","6","800","800","Bracelet","","","https://northandpearl.com/products/north-pearl-sparkle-accent-bracelet"
"North & Pearl Sparkle Accent Necklace","north-pearl-sparkle-necklace-5629","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601782475629","","https://northandpearl.com/products/north-pearl-sparkle-necklace-5629"
"North & Pearl Sparkle Halo Bracelet","north-pearl-sparkle-halo-bracelet","ACCEPTABLE_TEMP","6","800","800","Bracelet","alibaba-source-1601403752183","","https://northandpearl.com/products/north-pearl-sparkle-halo-bracelet"
"North & Pearl Sparkle Link Bracelet","north-pearl-sparkle-link-bracelet","ACCEPTABLE_TEMP","6","800","800","Bracelet","alibaba-source-1601397861371","","https://northandpearl.com/products/north-pearl-sparkle-link-bracelet"
"North & Pearl Sparkle Pulse Bracelet","north-pearl-sparkle-pulse-bracelet","ACCEPTABLE_TEMP","6","800","800","Bracelet","","","https://northandpearl.com/products/north-pearl-sparkle-pulse-bracelet"
"North & Pearl Sparkle Row Bracelet","north-pearl-sparkle-row-bracelet","ACCEPTABLE_TEMP","6","800","800","Bracelet","alibaba-source-1601120166205","","https://northandpearl.com/products/north-pearl-sparkle-row-bracelet"
"North & Pearl Stacking Giftable Sparkle Bracelet","north-pearl-sparkle-bracelet-8259","ACCEPTABLE_TEMP","6","800","800","Bracelet","alibaba-source-1601432498259","","https://northandpearl.com/products/north-pearl-sparkle-bracelet-8259"
"North & Pearl V Water Drop Jewelry Set","north-pearl-v-water-drop-jewelry-set","ACCEPTABLE_TEMP","6","800","800","Gift Set","","","https://northandpearl.com/products/north-pearl-v-water-drop-jewelry-set"
