Product Handle,Product Title,Alibaba ID / URL,Source Type,Tags
north-pearl-initial-necklace-6868,North & Pearl Framed Initial Necklace,1601270196868,alibaba_id,alibaba-source-1601270196868; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; initial-style; letter-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-sparkle-bracelet,North & Pearl Sparkle Bracelet,1601460895777,alibaba_id,alibaba-source-1601460895777; alibaba-sourced; availability-status-visible; bracelet; chain-style; claim-status-unverified; gift-for-her; sample-status-not-ordered; source-alibaba; sparkle-style
north-pearl-name-necklace-5330,North & Pearl Everyday Script Name Necklace,1600450595330,alibaba_id,alibaba-source-1600450595330; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-letter-necklace-6404,North & Pearl Dainty Letter Pendant,1600093716404,alibaba_id,alibaba-source-1600093716404; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; letter-style; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-name-necklace-7262,North & Pearl Charm Polished Name Necklace,1601846897262,alibaba_id,alibaba-source-1601846897262; alibaba-sourced; availability-status-visible; chain-style; claim-status-unverified; gift-for-her; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-letter-necklace-0021,North & Pearl Everyday Letter Necklace,1601521760021,alibaba_id,alibaba-source-1601521760021; alibaba-sourced; availability-status-visible; chain-style; claim-status-unverified; drop-style; gift-for-her; letter-style; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-sparkle-necklace-2894,North & Pearl Sparkle Drop Necklace,1601728272894,alibaba_id,alibaba-source-1601728272894; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba; sparkle-style
north-pearl-sparkle-necklace-5629,North & Pearl Sparkle Accent Necklace,1601782475629,alibaba_id,alibaba-source-1601782475629; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba; sparkle-style
north-pearl-heart-necklace-4710,North & Pearl Petite Love Pendant,1601349354710,alibaba_id,alibaba-source-1601349354710; alibaba-sourced; availability-status-visible; butterfly-style; claim-status-unverified; gift-for-her; heart-style; letter-style; necklace; personalized; sample-status-not-ordered; source-alibaba; sparkle-style
north-pearl-name-necklace-1832,North & Pearl Custom Name Pendant,1600797031832,alibaba_id,alibaba-source-1600797031832; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-flower-earrings,North & Pearl Flower Earrings,1601211639171,alibaba_id,alibaba-source-1601211639171; alibaba-sourced; availability-status-visible; claim-status-unverified; earrings; flower-style; gift-for-her; sample-status-not-ordered; source-alibaba
north-pearl-name-necklace-4075,North & Pearl Floating Script Name Necklace,1601427854075,alibaba_id,alibaba-source-1601427854075; alibaba-sourced; availability-status-visible; chain-style; claim-status-unverified; gift-for-her; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-name-necklace-2338,North & Pearl Custom Script Pendant,1600263322338,alibaba_id,alibaba-source-1600263322338; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-initial-necklace-6130,North & Pearl Dainty Initial Charm,1600214606130,alibaba_id,alibaba-source-1600214606130; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; initial-style; letter-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-clover-earrings,North & Pearl Clover Earrings,1601606910497,alibaba_id,alibaba-source-1601606910497; alibaba-sourced; availability-status-visible; claim-status-unverified; clover-style; earrings; gift-for-her; sample-status-not-ordered; source-alibaba
north-pearl-letter-necklace-9008,North & Pearl Polished Letter Necklace,NEEDS_RECOVERY,missing,alibaba-source-60733359008; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; letter-style; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-clover-bracelet,North & Pearl Clover Bracelet,1601205044765,alibaba_id,alibaba-source-1601205044765; alibaba-sourced; availability-status-visible; bracelet; chain-style; claim-status-unverified; clover-style; gift-for-her; sample-status-not-ordered; source-alibaba; tennis-style
north-pearl-sparkle-ring-4269,North & Pearl Polished Sparkle Ring,1600487604269,alibaba_id,alibaba-source-1600487604269; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; ring; sample-status-not-ordered; source-alibaba; sparkle-style
north-pearl-water-drop-jewelry-set,North & Pearl Water Drop Jewelry Set,1601681796890,alibaba_id,alibaba-source-1601681796890; alibaba-sourced; availability-status-visible; claim-status-unverified; drop-style; gift-for-her; gift-set; hoop-style; huggie-style; sample-status-not-ordered; source-alibaba; water-drop-style
north-pearl-heart-necklace-1947,North & Pearl Sweet Heart Keepsake Necklace,1600985111947,alibaba_id,alibaba-source-1600985111947; alibaba-sourced; availability-status-visible; chain-style; claim-status-unverified; gift-for-her; heart-style; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-name-necklace-1996,North & Pearl Refined Script Name Necklace,1601665401996,alibaba_id,alibaba-source-1601665401996; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-initial-necklace-1814,North & Pearl Layered Initial Necklace,1601712111814,alibaba_id,alibaba-source-1601712111814; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; initial-style; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-chain-bracelet,North & Pearl Oval Link Bracelet,1600062012022,alibaba_id,alibaba-source-1600062012022; alibaba-sourced; availability-status-visible; bracelet; chain-style; claim-status-unverified; gift-for-her; sample-status-not-ordered; source-alibaba
north-pearl-bead-earrings,North & Pearl Bead Earrings,1601734287225,alibaba_id,alibaba-source-1601734287225; alibaba-sourced; availability-status-visible; bead-style; claim-status-unverified; earrings; gift-for-her; sample-status-not-ordered; source-alibaba
north-pearl-letter-necklace-4171,North & Pearl Minimal Letter Pendant,1601191814171,alibaba_id,alibaba-source-1601191814171; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; letter-style; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-snake-chain-bracelet,North & Pearl Smooth Layering Bracelet,1601223920431,alibaba_id,alibaba-source-1601223920431; alibaba-sourced; availability-status-visible; bracelet; chain-style; claim-status-unverified; gift-for-her; sample-status-not-ordered; snake-chain-style; source-alibaba
north-pearl-bead-jewelry-set,North & Pearl Bead Jewelry Set,1601259384734,alibaba_id,alibaba-source-1601259384734; alibaba-sourced; availability-status-visible; bead-style; chain-style; claim-status-unverified; gift-for-her; gift-set; sample-status-not-ordered; source-alibaba
north-pearl-initial-necklace-6010,North & Pearl Polished Initial Pendant,1601259086010,alibaba_id,alibaba-source-1601259086010; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; initial-style; letter-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-name-necklace-6429,North & Pearl Giftable Script Name Necklace,1601291736429,alibaba_id,alibaba-source-1601291736429; alibaba-sourced; availability-status-visible; claim-status-unverified; drop-style; gift-for-her; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-heart-necklace-7284,North & Pearl Sculpted Heart Pendant Necklace,1601794627284,alibaba_id,alibaba-source-1601794627284; alibaba-sourced; availability-status-visible; birth-month-style; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; heart-style; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-name-necklace-0389,North & Pearl Heirloom Script Name Necklace,1601390370389,alibaba_id,alibaba-source-1601390370389; alibaba-sourced; availability-status-visible; chain-style; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-heart-necklace-2260,North & Pearl Sweetheart Drop Pendant Necklace,1601837852260,alibaba_id,alibaba-source-1601837852260; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; drop-style; gauss-next-50; gift-for-her; heart-style; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-heart-earrings-5822,North & Pearl Petite Heart Earrings,1601199265822,alibaba_id,alibaba-source-1601199265822; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; earrings; gauss-next-50; gift-for-her; heart-style; launch-review; needs-faraday-review; needs-kuhn-review; sample-status-not-ordered; source-alibaba
north-pearl-clover-bracelet-1195,North & Pearl Clover Link Bracelet,1601495141195,alibaba_id,alibaba-source-1601495141195; alibaba-sourced; availability-status-visible; bracelet; chain-style; claim-status-unverified; clover-style; draft-candidate; gauss-next-50; gift-for-her; launch-review; needs-faraday-review; needs-kuhn-review; sample-status-not-ordered; source-alibaba; tennis-style
north-pearl-letter-necklace-0689,North & Pearl Dainty Letter Tag Necklace,1601716610689,alibaba_id,alibaba-source-1601716610689; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; launch-review; letter-style; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-heart-necklace-2923,North & Pearl Keepsake Heart Pendant Necklace,1601846852923,alibaba_id,alibaba-source-1601846852923; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; heart-style; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-bead-bracelet-0492,North & Pearl Beaded Keepsake Bracelet,1601236430492,alibaba_id,alibaba-source-1601236430492; alibaba-sourced; availability-status-visible; bead-style; bracelet; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; launch-review; needs-faraday-review; needs-kuhn-review; sample-status-not-ordered; source-alibaba
north-pearl-name-necklace-4242,North & Pearl Everyday Classic Name Necklace,1600764544242,alibaba_id,alibaba-source-1600764544242; alibaba-sourced; availability-status-visible; chain-style; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; snake-chain-style; source-alibaba
north-pearl-letter-necklace-4810,North & Pearl Polished Letter Pendant Necklace,1600558074810,alibaba_id,alibaba-source-1600558074810; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; drop-style; gauss-next-50; gift-for-her; launch-review; letter-style; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-initial-necklace-6142,North & Pearl Framed Initial Pendant Necklace,1601689666142,alibaba_id,alibaba-source-1601689666142; alibaba-sourced; availability-status-visible; chain-style; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; initial-style; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-initial-necklace-4829,North & Pearl Classic Initial Charm Necklace,NEEDS_RECOVERY,missing,alibaba-source-1700010604829; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; initial-style; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-letter-necklace-2555,North & Pearl Statement Letter Pendant Necklace,1601834722555,alibaba_id,alibaba-source-1601834722555; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; launch-review; letter-style; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-name-necklace-1616,North & Pearl Script Classic Name Necklace,1600691571616,alibaba_id,alibaba-source-1600691571616; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-name-necklace-8213,North & Pearl Nameplate Charm Necklace,NEEDS_RECOVERY,missing,alibaba-source-62121288213; alibaba-sourced; availability-status-visible; chain-style; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-initial-necklace-4204,North & Pearl Minimal Initial Pendant Necklace,1601583124204,alibaba_id,alibaba-source-1601583124204; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; initial-style; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-name-necklace-7562,North & Pearl Custom Script Name Necklace,1600504737562,alibaba_id,alibaba-source-1600504737562; alibaba-sourced; availability-status-visible; chain-style; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-heart-necklace-0474,North & Pearl Petite Heart Charm Necklace,1601848550474,alibaba_id,alibaba-source-1601848550474; alibaba-sourced; availability-status-visible; chain-style; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; heart-style; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-letter-necklace-2156,North & Pearl Everyday Letter Charm Necklace,1601525962156,alibaba_id,alibaba-source-1601525962156; alibaba-sourced; availability-status-visible; chain-style; claim-status-unverified; draft-candidate; drop-style; gauss-next-50; gift-for-her; launch-review; letter-style; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-initial-necklace-8531,North & Pearl Layering Dainty Initial Necklace,1600958108531,alibaba_id,alibaba-source-1600958108531; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; initial-style; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-heart-necklace-3361,North & Pearl Open Heart Pendant Necklace,1601195203361,alibaba_id,alibaba-source-1601195203361; alibaba-sourced; availability-status-visible; bead-style; butterfly-style; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; heart-style; initial-style; launch-review; letter-style; moon-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba; sparkle-style
north-pearl-heart-necklace-1404,North & Pearl Rounded Heart Pendant Necklace,1601043081404,alibaba_id,alibaba-source-1601043081404; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; heart-style; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-clover-bracelet-4268,North & Pearl Clover Station Bracelet,1601588314268,alibaba_id,alibaba-source-1601588314268; alibaba-sourced; availability-status-visible; bracelet; claim-status-unverified; clover-style; draft-candidate; gauss-next-50; gift-for-her; launch-review; needs-faraday-review; needs-kuhn-review; sample-status-not-ordered; source-alibaba; sparkle-style
north-pearl-letter-necklace-1571,North & Pearl Petite Letter Necklace,NEEDS_RECOVERY,missing,alibaba-source-62447621571; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; launch-review; letter-style; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-name-necklace-1956,North & Pearl Floating Nameplate Necklace,1600293661956,alibaba_id,alibaba-source-1600293661956; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; drop-style; gauss-next-50; gift-for-her; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-bead-necklace,North & Pearl Beaded Layering Necklace,1601276295310,alibaba_id,alibaba-source-1601276295310; alibaba-sourced; availability-status-visible; bead-style; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; launch-review; necklace; needs-faraday-review; needs-kuhn-review; sample-status-not-ordered; source-alibaba
north-pearl-letter-necklace-1755,North & Pearl Layered Letter Necklace,1601782281755,alibaba_id,alibaba-source-1601782281755; alibaba-sourced; availability-status-visible; chain-style; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; launch-review; letter-style; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-letter-necklace-2210,North & Pearl Slim Letter Pendant Necklace,1600876242210,alibaba_id,alibaba-source-1600876242210; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; launch-review; letter-style; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-heart-ring-7637,North & Pearl Heart Accent Ring,NEEDS_RECOVERY,missing,alibaba-source-62383677637; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; heart-style; launch-review; needs-faraday-review; needs-kuhn-review; ring; sample-status-not-ordered; source-alibaba; sparkle-style
north-pearl-name-necklace-8379,North & Pearl Giftable Nameplate Necklace,1601290258379,alibaba_id,alibaba-source-1601290258379; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-name-necklace-5921,North & Pearl Polished Name Pendant Necklace,NEEDS_RECOVERY,missing,alibaba-source-62496465921; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-flower-necklace,North & Pearl Bloom Pendant Necklace,1600375026459,alibaba_id,alibaba-source-1600375026459; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; flower-style; gauss-next-50; gift-for-her; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-initial-necklace-3226,North & Pearl Block Initial Necklace,1600912413226,alibaba_id,alibaba-source-1600912413226; alibaba-sourced; availability-status-visible; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; initial-style; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
north-pearl-name-necklace-7245,North & Pearl Personal Name Necklace,NEEDS_RECOVERY,missing,alibaba-source-11000005677245; alibaba-sourced; availability-status-visible; butterfly-style; claim-status-unverified; draft-candidate; gauss-next-50; gift-for-her; launch-review; name-style; necklace; needs-faraday-review; needs-kuhn-review; personalized; sample-status-not-ordered; source-alibaba
